Interval,Start Time,End Time,Events,Rate (events/s),Cumulative Events
1,2025-11-22 21:07:06,2025-11-22 21:12:07,41,0.136,41
2,2025-11-22 21:12:07,2025-11-22 21:17:08,50,0.166,91
3,2025-11-22 21:17:08,2025-11-22 21:22:08,46,0.153,137
4,2025-11-22 21:22:08,2025-11-22 21:27:09,45,0.150,182
5,2025-11-22 21:27:09,2025-11-22 21:32:10,42,0.140,224
6,2025-11-22 21:32:10,2025-11-22 21:37:10,47,0.157,271
7,2025-11-22 21:37:10,2025-11-22 21:42:10,41,0.137,312
8,2025-11-22 21:42:10,2025-11-22 21:47:11,59,0.197,371
9,2025-11-22 21:47:11,2025-11-22 21:52:11,42,0.140,413
10,2025-11-22 21:52:11,2025-11-22 21:57:11,48,0.160,461
11,2025-11-22 21:57:11,2025-11-22 22:02:12,48,0.160,509
12,2025-11-22 22:02:12,2025-11-22 22:07:13,37,0.123,546
13,2025-11-22 22:07:13,2025-11-22 22:12:14,46,0.153,592
14,2025-11-22 22:12:14,2025-11-22 22:17:14,48,0.160,640
15,2025-11-22 22:17:14,2025-11-22 22:22:15,50,0.166,690
16,2025-11-22 22:22:15,2025-11-22 22:27:16,39,0.130,729
17,2025-11-22 22:27:16,2025-11-22 22:32:16,48,0.160,777
18,2025-11-22 22:32:16,2025-11-22 22:37:17,52,0.173,829
19,2025-11-22 22:37:17,2025-11-22 22:42:18,42,0.140,871
20,2025-11-22 22:42:18,2025-11-22 22:47:19,39,0.130,910
21,2025-11-22 22:47:19,2025-11-22 22:52:20,37,0.123,947
22,2025-11-22 22:52:20,2025-11-22 22:57:21,42,0.140,989
23,2025-11-22 22:57:21,2025-11-22 23:02:22,48,0.160,1037
24,2025-11-22 23:02:22,2025-11-22 23:07:22,55,0.183,1092
25,2025-11-22 23:07:22,2025-11-22 23:12:23,48,0.160,1140
26,2025-11-22 23:12:23,2025-11-22 23:17:23,50,0.167,1190
27,2025-11-22 23:17:23,2025-11-22 23:22:23,45,0.150,1235
28,2025-11-22 23:22:23,2025-11-22 23:27:23,49,0.163,1284
29,2025-11-22 23:27:23,2025-11-22 23:32:24,49,0.163,1333
30,2025-11-22 23:32:24,2025-11-22 23:37:24,45,0.150,1378
31,2025-11-22 23:37:24,2025-11-22 23:42:25,56,0.186,1434
32,2025-11-22 23:42:25,2025-11-22 23:47:25,47,0.157,1481
33,2025-11-22 23:47:25,2025-11-22 23:52:26,50,0.166,1531
34,2025-11-22 23:52:26,2025-11-22 23:57:26,44,0.146,1575
35,2025-11-22 23:57:26,2025-11-23 00:02:27,37,0.123,1612
36,2025-11-23 00:02:27,2025-11-23 00:07:28,50,0.166,1662
37,2025-11-23 00:07:28,2025-11-23 00:12:28,40,0.133,1702
38,2025-11-23 00:12:28,2025-11-23 00:17:29,53,0.176,1755
39,2025-11-23 00:17:29,2025-11-23 00:22:30,43,0.143,1798
40,2025-11-23 00:22:30,2025-11-23 00:27:31,44,0.146,1842
41,2025-11-23 00:27:31,2025-11-23 00:32:31,39,0.130,1881
42,2025-11-23 00:32:31,2025-11-23 00:37:32,46,0.153,1927
43,2025-11-23 00:37:32,2025-11-23 00:42:33,38,0.126,1965
44,2025-11-23 00:42:33,2025-11-23 00:47:33,48,0.160,2013
45,2025-11-23 00:47:33,2025-11-23 00:52:33,50,0.167,2063
46,2025-11-23 00:52:33,2025-11-23 00:57:34,43,0.143,2106
47,2025-11-23 00:57:34,2025-11-23 01:02:34,43,0.143,2149
48,2025-11-23 01:02:34,2025-11-23 01:07:34,49,0.163,2198
49,2025-11-23 01:07:34,2025-11-23 01:12:35,36,0.120,2234
50,2025-11-23 01:12:35,2025-11-23 01:17:36,37,0.123,2271
51,2025-11-23 01:17:36,2025-11-23 01:22:37,47,0.156,2318
52,2025-11-23 01:22:37,2025-11-23 01:27:37,49,0.163,2367
53,2025-11-23 01:27:37,2025-11-23 01:32:38,51,0.169,2418
54,2025-11-23 01:32:38,2025-11-23 01:37:39,41,0.136,2459
55,2025-11-23 01:37:39,2025-11-23 01:42:40,49,0.163,2508
56,2025-11-23 01:42:40,2025-11-23 01:47:40,38,0.127,2546
57,2025-11-23 01:47:40,2025-11-23 01:52:40,40,0.133,2586
58,2025-11-23 01:52:40,2025-11-23 01:57:41,40,0.133,2626
59,2025-11-23 01:57:41,2025-11-23 02:02:42,38,0.126,2664
60,2025-11-23 02:02:42,2025-11-23 02:07:43,51,0.169,2715
61,2025-11-23 02:07:43,2025-11-23 02:12:44,43,0.143,2758
62,2025-11-23 02:12:44,2025-11-23 02:17:44,49,0.163,2807
63,2025-11-23 02:17:44,2025-11-23 02:22:45,41,0.136,2848
64,2025-11-23 02:22:45,2025-11-23 02:27:46,43,0.143,2891
65,2025-11-23 02:27:46,2025-11-23 02:32:47,55,0.183,2946
66,2025-11-23 02:32:47,2025-11-23 02:37:47,45,0.150,2991
67,2025-11-23 02:37:47,2025-11-23 02:42:47,31,0.103,3022
68,2025-11-23 02:42:47,2025-11-23 02:47:48,57,0.190,3079
69,2025-11-23 02:47:48,2025-11-23 02:52:48,44,0.146,3123
70,2025-11-23 02:52:48,2025-11-23 02:57:49,42,0.140,3165
71,2025-11-23 02:57:49,2025-11-23 03:02:50,56,0.186,3221
72,2025-11-23 03:02:50,2025-11-23 03:07:50,35,0.117,3256
73,2025-11-23 03:07:50,2025-11-23 03:12:51,45,0.150,3301
74,2025-11-23 03:12:51,2025-11-23 03:17:52,43,0.143,3344
75,2025-11-23 03:17:52,2025-11-23 03:22:52,36,0.120,3380
76,2025-11-23 03:22:52,2025-11-23 03:27:53,43,0.143,3423
77,2025-11-23 03:27:53,2025-11-23 03:32:54,49,0.163,3472
78,2025-11-23 03:32:54,2025-11-23 03:37:54,46,0.153,3518
79,2025-11-23 03:37:54,2025-11-23 03:42:55,35,0.116,3553
80,2025-11-23 03:42:55,2025-11-23 03:47:56,50,0.167,3603
81,2025-11-23 03:47:56,2025-11-23 03:52:56,41,0.136,3644
82,2025-11-23 03:52:56,2025-11-23 03:57:57,42,0.140,3686
83,2025-11-23 03:57:57,2025-11-23 04:02:58,52,0.173,3738
84,2025-11-23 04:02:58,2025-11-23 04:07:59,45,0.150,3783
85,2025-11-23 04:07:59,2025-11-23 04:12:59,40,0.133,3823
86,2025-11-23 04:12:59,2025-11-23 04:18:00,44,0.146,3867
87,2025-11-23 04:18:00,2025-11-23 04:23:01,37,0.123,3904
88,2025-11-23 04:23:01,2025-11-23 04:28:02,40,0.133,3944
89,2025-11-23 04:28:02,2025-11-23 04:33:03,43,0.143,3987
90,2025-11-23 04:33:03,2025-11-23 04:38:03,40,0.133,4027
91,2025-11-23 04:38:03,2025-11-23 04:43:04,40,0.133,4067
92,2025-11-23 04:43:04,2025-11-23 04:48:05,37,0.123,4104
93,2025-11-23 04:48:05,2025-11-23 04:53:06,47,0.156,4151
94,2025-11-23 04:53:06,2025-11-23 04:58:07,49,0.163,4200
95,2025-11-23 04:58:07,2025-11-23 05:03:08,46,0.153,4246
96,2025-11-23 05:03:08,2025-11-23 05:08:08,51,0.170,4297
97,2025-11-23 05:08:08,2025-11-23 05:13:08,42,0.140,4339
98,2025-11-23 05:13:08,2025-11-23 05:18:09,42,0.140,4381
99,2025-11-23 05:18:09,2025-11-23 05:23:10,47,0.156,4428
100,2025-11-23 05:23:10,2025-11-23 05:28:10,45,0.150,4473
101,2025-11-23 05:28:10,2025-11-23 05:33:11,40,0.133,4513
102,2025-11-23 05:33:11,2025-11-23 05:38:12,48,0.159,4561
103,2025-11-23 05:38:12,2025-11-23 05:43:12,45,0.150,4606
104,2025-11-23 05:43:12,2025-11-23 05:48:13,55,0.183,4661
105,2025-11-23 05:48:13,2025-11-23 05:53:14,42,0.140,4703
106,2025-11-23 05:53:14,2025-11-23 05:58:15,36,0.120,4739
107,2025-11-23 05:58:15,2025-11-23 06:03:16,36,0.120,4775
108,2025-11-23 06:03:16,2025-11-23 06:08:17,51,0.169,4826
109,2025-11-23 06:08:17,2025-11-23 06:13:18,49,0.163,4875
110,2025-11-23 06:13:18,2025-11-23 06:18:18,49,0.163,4924
111,2025-11-23 06:18:18,2025-11-23 06:23:19,57,0.189,4981
112,2025-11-23 06:23:19,2025-11-23 06:28:20,55,0.183,5036
113,2025-11-23 06:28:20,2025-11-23 06:33:20,57,0.189,5093
114,2025-11-23 06:33:20,2025-11-23 06:38:21,49,0.163,5142
115,2025-11-23 06:38:21,2025-11-23 06:43:21,43,0.143,5185
116,2025-11-23 06:43:21,2025-11-23 06:48:21,42,0.140,5227
117,2025-11-23 06:48:21,2025-11-23 06:53:22,41,0.136,5268
118,2025-11-23 06:53:22,2025-11-23 06:58:23,47,0.156,5315
119,2025-11-23 06:58:23,2025-11-23 07:03:24,45,0.150,5360
120,2025-11-23 07:03:24,2025-11-23 07:08:25,50,0.166,5410
121,2025-11-23 07:08:25,2025-11-23 07:13:26,51,0.170,5461
122,2025-11-23 07:13:26,2025-11-23 07:18:26,34,0.113,5495
123,2025-11-23 07:18:26,2025-11-23 07:23:26,44,0.147,5539
124,2025-11-23 07:23:26,2025-11-23 07:28:27,37,0.123,5576
125,2025-11-23 07:28:27,2025-11-23 07:33:28,59,0.196,5635
126,2025-11-23 07:33:28,2025-11-23 07:38:29,50,0.166,5685
127,2025-11-23 07:38:29,2025-11-23 07:43:29,34,0.113,5719
128,2025-11-23 07:43:29,2025-11-23 07:48:30,39,0.130,5758
129,2025-11-23 07:48:30,2025-11-23 07:53:30,46,0.153,5804
130,2025-11-23 07:53:30,2025-11-23 07:58:31,43,0.143,5847
131,2025-11-23 07:58:31,2025-11-23 08:03:32,44,0.146,5891
132,2025-11-23 08:03:32,2025-11-23 08:08:33,38,0.126,5929
133,2025-11-23 08:08:33,2025-11-23 08:13:34,36,0.120,5965
134,2025-11-23 08:13:34,2025-11-23 08:18:35,38,0.126,6003
135,2025-11-23 08:18:35,2025-11-23 08:23:35,35,0.117,6038
136,2025-11-23 08:23:35,2025-11-23 08:28:36,50,0.166,6088
137,2025-11-23 08:28:36,2025-11-23 08:33:36,39,0.130,6127
138,2025-11-23 08:33:36,2025-11-23 08:38:37,51,0.169,6178
139,2025-11-23 08:38:37,2025-11-23 08:43:38,60,0.199,6238
140,2025-11-23 08:43:38,2025-11-23 08:48:38,40,0.133,6278
141,2025-11-23 08:48:38,2025-11-23 08:53:38,37,0.123,6315
142,2025-11-23 08:53:38,2025-11-23 08:58:39,64,0.213,6379
143,2025-11-23 08:58:39,2025-11-23 09:03:40,45,0.150,6424
144,2025-11-23 09:03:40,2025-11-23 09:08:41,50,0.166,6474
145,2025-11-23 09:08:41,2025-11-23 09:13:42,48,0.160,6522
146,2025-11-23 09:13:42,2025-11-23 09:18:42,46,0.153,6568
147,2025-11-23 09:18:42,2025-11-23 09:23:42,44,0.146,6612
148,2025-11-23 09:23:42,2025-11-23 09:28:43,37,0.123,6649
149,2025-11-23 09:28:43,2025-11-23 09:33:44,46,0.153,6695
150,2025-11-23 09:33:44,2025-11-23 09:38:44,43,0.143,6738
151,2025-11-23 09:38:44,2025-11-23 09:43:44,42,0.140,6780
152,2025-11-23 09:43:44,2025-11-23 09:48:45,40,0.133,6820
153,2025-11-23 09:48:45,2025-11-23 09:53:46,30,0.100,6850
154,2025-11-23 09:53:46,2025-11-23 09:58:47,44,0.146,6894
155,2025-11-23 09:58:47,2025-11-23 10:03:48,45,0.150,6939
156,2025-11-23 10:03:48,2025-11-23 10:08:48,43,0.143,6982
157,2025-11-23 10:08:48,2025-11-23 10:13:48,39,0.130,7021
158,2025-11-23 10:13:48,2025-11-23 10:18:49,44,0.146,7065
159,2025-11-23 10:18:49,2025-11-23 10:23:50,63,0.209,7128
160,2025-11-23 10:23:50,2025-11-23 10:28:50,43,0.143,7171
161,2025-11-23 10:28:50,2025-11-23 10:33:51,50,0.166,7221
162,2025-11-23 10:33:51,2025-11-23 10:38:51,41,0.137,7262
163,2025-11-23 10:38:51,2025-11-23 10:43:52,45,0.150,7307
164,2025-11-23 10:43:52,2025-11-23 10:48:53,40,0.133,7347
165,2025-11-23 10:48:53,2025-11-23 10:53:53,33,0.110,7380
166,2025-11-23 10:53:53,2025-11-23 10:58:54,46,0.153,7426
167,2025-11-23 10:58:54,2025-11-23 11:03:55,37,0.123,7463
168,2025-11-23 11:03:55,2025-11-23 11:08:56,43,0.143,7506
169,2025-11-23 11:08:56,2025-11-23 11:13:57,34,0.113,7540
170,2025-11-23 11:13:57,2025-11-23 11:18:58,39,0.130,7579
171,2025-11-23 11:18:58,2025-11-23 11:23:58,50,0.166,7629
172,2025-11-23 11:23:58,2025-11-23 11:28:59,43,0.143,7672
173,2025-11-23 11:28:59,2025-11-23 11:34:00,45,0.150,7717
174,2025-11-23 11:34:00,2025-11-23 11:39:01,51,0.170,7768
175,2025-11-23 11:39:01,2025-11-23 11:44:02,42,0.140,7810
176,2025-11-23 11:44:02,2025-11-23 11:49:03,44,0.146,7854
177,2025-11-23 11:49:03,2025-11-23 11:54:04,52,0.173,7906
178,2025-11-23 11:54:04,2025-11-23 11:59:05,42,0.140,7948
179,2025-11-23 11:59:05,2025-11-23 12:04:06,43,0.143,7991
180,2025-11-23 12:04:06,2025-11-23 12:09:06,44,0.146,8035
181,2025-11-23 12:09:06,2025-11-23 12:14:07,51,0.169,8086
182,2025-11-23 12:14:07,2025-11-23 12:19:08,56,0.187,8142
183,2025-11-23 12:19:08,2025-11-23 12:24:08,52,0.173,8194
184,2025-11-23 12:24:08,2025-11-23 12:29:08,45,0.150,8239
185,2025-11-23 12:29:08,2025-11-23 12:34:09,48,0.159,8287
186,2025-11-23 12:34:09,2025-11-23 12:39:10,38,0.126,8325
187,2025-11-23 12:39:10,2025-11-23 12:44:11,42,0.140,8367
188,2025-11-23 12:44:11,2025-11-23 12:49:12,48,0.159,8415
189,2025-11-23 12:49:12,2025-11-23 12:54:12,54,0.180,8469
190,2025-11-23 12:54:12,2025-11-23 12:59:13,32,0.106,8501
191,2025-11-23 12:59:13,2025-11-23 13:04:14,43,0.143,8544
192,2025-11-23 13:04:14,2025-11-23 13:09:14,35,0.117,8579
193,2025-11-23 13:09:14,2025-11-23 13:14:15,51,0.170,8630
194,2025-11-23 13:14:15,2025-11-23 13:19:16,36,0.120,8666
195,2025-11-23 13:19:16,2025-11-23 13:24:17,52,0.173,8718
196,2025-11-23 13:24:17,2025-11-23 13:29:18,53,0.176,8771
197,2025-11-23 13:29:18,2025-11-23 13:34:18,51,0.170,8822
198,2025-11-23 13:34:18,2025-11-23 13:39:19,45,0.150,8867
199,2025-11-23 13:39:19,2025-11-23 13:44:20,35,0.116,8902
200,2025-11-23 13:44:20,2025-11-23 13:49:20,37,0.123,8939
201,2025-11-23 13:49:20,2025-11-23 13:54:21,37,0.123,8976
202,2025-11-23 13:54:21,2025-11-23 13:59:22,53,0.176,9029
203,2025-11-23 13:59:22,2025-11-23 14:04:23,57,0.189,9086
204,2025-11-23 14:04:23,2025-11-23 14:09:24,40,0.133,9126
205,2025-11-23 14:09:24,2025-11-23 14:14:25,37,0.123,9163
206,2025-11-23 14:14:25,2025-11-23 14:19:26,41,0.136,9204
207,2025-11-23 14:19:26,2025-11-23 14:24:27,53,0.176,9257
208,2025-11-23 14:24:27,2025-11-23 14:29:27,51,0.170,9308
209,2025-11-23 14:29:27,2025-11-23 14:34:28,51,0.169,9359
210,2025-11-23 14:34:28,2025-11-23 14:39:29,51,0.170,9410
211,2025-11-23 14:39:29,2025-11-23 14:44:30,51,0.169,9461
212,2025-11-23 14:44:30,2025-11-23 14:49:31,41,0.136,9502
213,2025-11-23 14:49:31,2025-11-23 14:54:32,31,0.103,9533
214,2025-11-23 14:54:32,2025-11-23 14:59:33,38,0.126,9571
215,2025-11-23 14:59:33,2025-11-23 15:04:34,41,0.136,9612
216,2025-11-23 15:04:34,2025-11-23 15:09:34,41,0.137,9653
217,2025-11-23 15:09:34,2025-11-23 15:14:34,58,0.193,9711
218,2025-11-23 15:14:34,2025-11-23 15:19:34,45,0.150,9756
219,2025-11-23 15:19:34,2025-11-23 15:24:35,45,0.150,9801
220,2025-11-23 15:24:35,2025-11-23 15:29:36,44,0.147,9845
221,2025-11-23 15:29:36,2025-11-23 15:34:37,44,0.146,9889
222,2025-11-23 15:34:37,2025-11-23 15:39:37,53,0.176,9942
223,2025-11-23 15:39:37,2025-11-23 15:44:38,44,0.147,9986
224,2025-11-23 15:44:38,2025-11-23 15:49:38,37,0.123,10023
225,2025-11-23 15:49:38,2025-11-23 15:54:39,40,0.133,10063
226,2025-11-23 15:54:39,2025-11-23 15:59:40,40,0.133,10103
227,2025-11-23 15:59:40,2025-11-23 16:04:41,43,0.143,10146
228,2025-11-23 16:04:41,2025-11-23 16:09:42,47,0.156,10193
229,2025-11-23 16:09:42,2025-11-23 16:14:42,41,0.136,10234
230,2025-11-23 16:14:42,2025-11-23 16:19:43,41,0.136,10275
231,2025-11-23 16:19:43,2025-11-23 16:24:43,45,0.150,10320
232,2025-11-23 16:24:43,2025-11-23 16:29:44,55,0.183,10375
233,2025-11-23 16:29:44,2025-11-23 16:34:45,48,0.159,10423
234,2025-11-23 16:34:45,2025-11-23 16:39:46,53,0.176,10476
235,2025-11-23 16:39:46,2025-11-23 16:44:47,41,0.136,10517
236,2025-11-23 16:44:47,2025-11-23 16:49:47,33,0.110,10550
237,2025-11-23 16:49:47,2025-11-23 16:54:47,47,0.157,10597
238,2025-11-23 16:54:47,2025-11-23 16:59:48,36,0.120,10633
239,2025-11-23 16:59:48,2025-11-23 17:04:49,61,0.203,10694
240,2025-11-23 17:04:49,2025-11-23 17:09:49,46,0.153,10740
241,2025-11-23 17:09:49,2025-11-23 17:14:49,46,0.153,10786
242,2025-11-23 17:14:49,2025-11-23 17:19:50,46,0.153,10832
243,2025-11-23 17:19:50,2025-11-23 17:24:50,42,0.140,10874
244,2025-11-23 17:24:50,2025-11-23 17:29:51,46,0.153,10920
245,2025-11-23 17:29:51,2025-11-23 17:34:52,47,0.156,10967
246,2025-11-23 17:34:52,2025-11-23 17:39:53,38,0.126,11005
247,2025-11-23 17:39:53,2025-11-23 17:44:53,33,0.110,11038
248,2025-11-23 17:44:53,2025-11-23 17:49:53,54,0.180,11092
249,2025-11-23 17:49:53,2025-11-23 17:54:54,46,0.153,11138
250,2025-11-23 17:54:54,2025-11-23 17:59:55,37,0.123,11175
251,2025-11-23 17:59:55,2025-11-23 18:04:56,48,0.159,11223
252,2025-11-23 18:04:56,2025-11-23 18:09:57,40,0.133,11263
253,2025-11-23 18:09:57,2025-11-23 18:14:58,55,0.183,11318
254,2025-11-23 18:14:58,2025-11-23 18:19:58,49,0.163,11367
255,2025-11-23 18:19:58,2025-11-23 18:24:59,50,0.166,11417
256,2025-11-23 18:24:59,2025-11-23 18:30:00,49,0.163,11466
257,2025-11-23 18:30:00,2025-11-23 18:35:00,45,0.150,11511
258,2025-11-23 18:35:00,2025-11-23 18:40:01,40,0.133,11551
259,2025-11-23 18:40:01,2025-11-23 18:45:01,33,0.110,11584
260,2025-11-23 18:45:01,2025-11-23 18:50:02,44,0.146,11628
261,2025-11-23 18:50:02,2025-11-23 18:55:03,50,0.166,11678
262,2025-11-23 18:55:03,2025-11-23 19:00:03,56,0.186,11734
263,2025-11-23 19:00:03,2025-11-23 19:05:04,43,0.143,11777
264,2025-11-23 19:05:04,2025-11-23 19:10:05,48,0.160,11825
265,2025-11-23 19:10:05,2025-11-23 19:15:05,46,0.153,11871
266,2025-11-23 19:15:05,2025-11-23 19:20:06,42,0.140,11913
267,2025-11-23 19:20:06,2025-11-23 19:25:07,39,0.130,11952
268,2025-11-23 19:25:07,2025-11-23 19:30:08,46,0.153,11998
269,2025-11-23 19:30:08,2025-11-23 19:35:08,45,0.150,12043
270,2025-11-23 19:35:08,2025-11-23 19:40:09,53,0.176,12096
271,2025-11-23 19:40:09,2025-11-23 19:45:09,38,0.127,12134
272,2025-11-23 19:45:09,2025-11-23 19:50:09,49,0.163,12183
273,2025-11-23 19:50:09,2025-11-23 19:55:10,49,0.163,12232
274,2025-11-23 19:55:10,2025-11-23 20:00:11,43,0.143,12275
275,2025-11-23 20:00:11,2025-11-23 20:05:11,48,0.159,12323
276,2025-11-23 20:05:11,2025-11-23 20:10:12,27,0.090,12350
277,2025-11-23 20:10:12,2025-11-23 20:15:13,46,0.153,12396
278,2025-11-23 20:15:13,2025-11-23 20:20:13,48,0.160,12444
279,2025-11-23 20:20:13,2025-11-23 20:25:14,55,0.183,12499
280,2025-11-23 20:25:14,2025-11-23 20:30:15,35,0.116,12534
281,2025-11-23 20:30:15,2025-11-23 20:35:16,62,0.206,12596
282,2025-11-23 20:35:16,2025-11-23 20:40:17,56,0.186,12652
283,2025-11-23 20:40:17,2025-11-23 20:45:18,38,0.126,12690
284,2025-11-23 20:45:18,2025-11-23 20:50:19,48,0.159,12738
285,2025-11-23 20:50:19,2025-11-23 20:55:20,46,0.153,12784
286,2025-11-23 20:55:20,2025-11-23 21:00:20,46,0.153,12830
287,2025-11-23 21:00:20,2025-11-23 21:05:21,47,0.156,12877
288,2025-11-23 21:05:21,2025-11-23 21:10:21,41,0.137,12918
289,2025-11-23 21:10:21,2025-11-23 21:15:21,42,0.140,12960
290,2025-11-23 21:15:21,2025-11-23 21:20:22,33,0.110,12993
291,2025-11-23 21:20:22,2025-11-23 21:25:23,46,0.153,13039
292,2025-11-23 21:25:23,2025-11-23 21:30:23,50,0.167,13089
293,2025-11-23 21:30:23,2025-11-23 21:35:24,40,0.133,13129
294,2025-11-23 21:35:24,2025-11-23 21:40:24,44,0.147,13173
295,2025-11-23 21:40:24,2025-11-23 21:45:24,41,0.137,13214
296,2025-11-23 21:45:24,2025-11-23 21:50:25,48,0.160,13262
297,2025-11-23 21:50:25,2025-11-23 21:55:26,39,0.130,13301
298,2025-11-23 21:55:26,2025-11-23 22:00:26,46,0.153,13347
299,2025-11-23 22:00:26,2025-11-23 22:05:26,43,0.143,13390
300,2025-11-23 22:05:26,2025-11-23 22:10:27,50,0.166,13440
301,2025-11-23 22:10:27,2025-11-23 22:15:28,45,0.150,13485
302,2025-11-23 22:15:28,2025-11-23 22:18:53,29,0.141,13514
